hryear4,pesex,peernlab,peerncov,peage,ptdtrace,pehspnon,peeduca,prcitshp,gestfips,pworwgt,peio1ocd
2009,2,2,2,45,1,2,43,1,39,113169791,3130
2009,2,2,2,38,1,2,41,1,39,117777297,3130
2009,2,2,2,56,1,2,45,1,40,85292730,3130
2009,2,2,2,29,1,2,43,1,41,107318711,3130
2009,2,2,2,53,1,2,42,1,41,75049169,3130
2009,2,2,2,56,1,2,43,1,41,75612881,3130
2009,2,2,2,33,1,2,43,1,41,84229947,3130
2009,1,1,-1,53,1,2,43,1,41,77777233,3130
2009,2,1,-1,65,1,2,43,1,41,74404451,3130
2009,2,2,2,40,1,2,42,3,41,86458480,3130
2009,2,2,2,28,1,2,41,1,42,137999450,3130
2009,2,1,-1,50,1,2,42,4,42,111248966,3130
2009,2,1,-1,42,1,2,43,1,42,104200382,3130
2009,1,2,2,23,1,2,39,1,42,153218630,3130
2009,2,2,2,51,1,2,41,1,42,111796715,3130
2009,2,2,2,36,1,2,42,1,42,113148401,3130
2009,2,2,2,55,1,2,41,1,42,112636447,3130
2009,2,2,2,35,3,2,41,1,42,118100246,3130
2009,2,1,-1,52,1,2,42,1,42,105229548,3130
2009,2,2,2,33,1,2,42,1,42,95971668,3130
2009,2,2,2,46,1,2,42,1,42,101026707,3130
2009,2,2,2,23,1,2,43,1,42,119789123,3130
2009,2,2,2,23,1,2,40,1,42,114245411,3130
2009,2,1,-1,59,1,2,42,1,44,19085691,3130
2009,2,2,2,36,1,2,42,1,44,21825884,3130
2009,1,2,2,46,1,2,43,1,44,17299018,3130
2009,2,2,1,41,1,2,43,1,44,20099846,3130
2009,2,2,2,56,1,2,43,1,45,91324199,3130
2009,2,2,2,46,2,2,43,1,45,81944945,3130
2009,2,2,2,62,1,2,41,1,46,13175356,3130
2009,2,2,2,49,1,2,42,1,46,13222146,3130
2009,2,2,2,24,1,2,43,1,46,13345329,3130
2009,2,2,2,47,7,2,43,1,46,13168360,3130
2009,2,2,2,58,1,2,43,1,46,13650410,3130
2009,2,2,2,25,1,2,43,1,46,19066939,3130
2009,2,2,2,25,1,2,43,1,46,19066939,3130
2009,1,2,2,34,1,2,42,1,47,128345616,3130
2009,2,2,2,57,1,2,41,1,47,117245805,3130
2009,2,2,2,49,1,2,42,1,47,102755119,3130
2009,2,2,2,52,1,2,41,1,47,105255477,3130
2009,2,2,2,32,1,2,42,1,48,129271223,3130
2009,2,2,2,34,1,1,41,5,48,112476155,3130
2009,2,2,2,47,2,2,43,1,48,98880565,3130
2009,2,2,2,41,1,2,41,1,48,116380561,3130
2009,1,2,2,49,2,2,43,1,48,136654189,3130
2009,2,2,2,48,2,2,41,1,48,103101685,3130
2009,2,2,2,57,2,2,42,1,48,101361467,3130
2009,2,2,2,59,1,1,43,4,48,100811676,3130
2009,2,2,2,50,1,2,43,1,48,106578004,3130
2009,2,2,2,46,1,2,42,1,48,99541587,3130
2009,2,2,2,51,1,2,42,1,48,110085735,3130
2009,2,2,2,40,1,2,41,1,48,116023312,3130
2009,2,2,2,56,1,2,44,1,49,57907466,3130
2009,2,2,2,60,1,2,41,1,49,57075970,3130
2009,2,2,2,45,1,2,42,1,49,57278665,3130
2009,2,2,2,47,1,2,41,1,50,10837413,3130
2009,2,1,-1,36,2,2,44,5,50,11434658,3130
2009,2,2,2,37,1,2,44,1,51,142157084,3130
2009,2,2,2,32,2,2,43,1,51,126863057,3130
2009,2,2,2,46,1,2,43,1,51,102309553,3130
2009,2,2,2,27,1,2,43,1,53,96062595,3130
2009,1,2,2,56,1,2,44,1,53,106012241,3130
2009,2,1,-1,42,4,2,43,4,53,83153719,3130
2009,2,1,-1,28,1,2,43,1,53,96927105,3130
2009,2,2,2,28,1,2,42,1,53,96927105,3130
2009,2,1,-1,33,4,2,42,3,53,74472413,3130
2009,2,2,2,40,1,2,44,1,54,42768345,3130
2009,2,2,2,52,1,2,41,1,54,41281643,3130
2009,2,2,2,27,1,2,43,1,54,50851815,3130
2009,2,2,2,56,1,2,39,1,54,41697600,3130
2009,1,2,2,45,1,2,43,1,54,45088574,3130
2009,2,2,2,57,1,2,43,1,55,79842955,3130
2009,2,2,2,41,1,2,43,1,55,94108797,3130
2009,2,1,-1,59,1,2,43,1,55,81821000,3130
2009,2,2,2,57,1,2,41,1,55,81821000,3130
2009,2,1,-1,58,1,2,43,1,55,79904397,3130
2009,2,2,2,42,1,2,42,1,56,9112517,3130
2009,2,2,2,24,1,2,43,1,56,10426290,3130
2010,2,2,2,32,2,2,42,1,01,139799518,3130
2010,2,2,2,44,1,2,44,1,01,118413060,3130
2010,2,1,-1,51,1,2,42,1,02,13387113,3130
2010,2,2,2,26,1,2,43,1,02,15335633,3130
2010,2,2,2,46,1,2,43,1,02,13805768,3130
2010,2,1,-1,49,1,2,42,1,02,13805768,3130
2010,2,1,-1,49,1,2,41,1,02,13805768,3130
2010,2,2,2,52,1,2,40,1,04,156050698,3130
2010,2,2,2,38,1,2,43,1,05,79644953,3130
2010,2,2,2,27,1,2,43,1,05,88204008,3130
2010,2,1,-1,73,1,1,41,1,06,99513221,3130
2010,2,1,-1,59,2,2,43,4,06,152706515,3130
2010,2,2,2,23,1,2,41,1,06,146573957,3130
2010,2,1,-1,41,1,2,43,5,06,107879884,3130
2010,1,2,2,52,1,2,43,1,06,112001237,3130
2010,2,2,2,50,4,2,44,1,06,101351803,3130
2010,2,2,2,35,1,1,41,4,06,108128291,3130
2010,2,2,2,45,4,2,39,4,06,100300394,3130
2010,2,1,-1,31,1,2,43,1,06,117877103,3130
2010,2,2,2,70,1,2,45,1,06,109046942,3130
2010,2,1,-1,35,1,1,43,1,06,109174213,3130
2010,2,2,2,62,1,2,41,1,06,131699013,3130
2010,2,2,2,42,1,2,41,1,06,125648600,3130
2010,2,2,2,24,4,2,43,1,06,78420682,3130
2010,2,2,2,36,1,2,43,5,06,101010252,3130
2010,2,2,2,58,1,2,44,1,06,115759653,3130
2010,2,1,-1,51,1,2,42,1,06,121062807,3130
2010,2,2,2,50,1,2,41,3,06,114648453,3130
2010,2,2,2,30,1,2,43,1,06,122440704,3130
2010,2,2,2,49,1,2,43,1,08,64357316,3130
2010,2,2,2,27,1,2,42,1,08,65682841,3130
2010,2,2,2,55,1,2,42,1,08,63295432,3130
2010,2,1,-1,36,1,1,43,1,09,40500330,3130
2010,1,1,-1,65,2,2,35,4,09,27656374,3130
2010,2,2,2,57,1,2,43,1,09,41634150,3130
2010,2,1,-1,56,1,2,43,4,09,41634150,3130
2010,2,2,2,39,4,2,43,5,09,52440459,3130
2010,2,2,2,28,1,2,42,1,09,47117949,3130
2010,2,2,2,58,1,2,42,1,09,41634150,3130
2010,2,2,2,51,1,2,41,1,09,42830022,3130
2010,1,2,2,55,1,2,42,1,09,47977804,3130
2010,2,2,2,25,1,2,41,1,10,17375389,3130
2010,2,2,2,45,1,2,44,1,10,15403520,3130
2010,2,2,2,42,1,2,43,1,10,17737457,3130
2010,2,2,2,41,1,2,43,1,10,17737457,3130
2010,2,1,-1,29,1,2,43,1,11,10629399,3130
2010,2,2,2,52,4,2,44,4,11,8787565,3130
2010,2,1,-1,49,1,2,43,1,12,130054185,3130
2010,2,2,2,56,2,2,44,1,12,119305810,3130
2010,2,2,2,23,1,2,41,1,12,143858909,3130
2010,2,2,2,41,2,2,42,4,12,137664201,3130
2010,2,2,2,76,1,2,43,1,12,130042743,3130
2010,2,2,2,57,1,1,45,4,12,130120868,3130
2010,2,2,2,37,1,2,43,1,12,114375117,3130
2010,2,2,2,57,2,2,42,4,12,120148351,3130
2010,2,2,2,54,1,2,43,1,12,124475466,3130
